curso,semestre,disciplina,tipo
6,2,Laboratório do Ensino da Matemática,Obrigatória
6,2,Lógica Matemática,Obrigatória
6,2,Inglês Instrumental,Obrigatória
6,3,Cálculo 1,Obrigatória
6,3,Estrutura e Funcionamento do Ensino,Obrigatória
6,3,Fundamentos da Matemática III,Obrigatória
6,3,Geometria Analítica Espacial,Obrigatória
6,3,Psicologia do Desenvolvimento,Obrigatória
6,4,Cálculo 2,Obrigatória
6,4,Currículos e Programas,Obrigatória
6,4,Didática Educacional,Obrigatória
6,4,Informática Aplicada ao Ensino,Obrigatória
6,4,Libras,Obrigatória
6,4,Probabilidades,Obrigatória
6,5,Álgebra Linear,Obrigatória
6,5,Cálculo 3,Obrigatória
6,5,Estágio I,Obrigatória
6,5,Estatística,Obrigatória
6,5,Metodologia do Trabalho Científico,Obrigatória
6,5,Programa Residência Pedagógica,Obrigatória
6,5,Psicologia da Aprendizagem,Obrigatória
6,6,Equações Diferenciais e Séries,Obrigatória
6,6,Estágio II,Obrigatória
6,6,Lógica de Programação,Obrigatória
6,6,Projeto Social,Obrigatória
6,6,Teoria dos Números,Obrigatória
6,6,Organização e Gestão da Educação Brasileira,Obrigatória
6,7,Cálculo Numérico,Obrigatória
6,7,Estágio III,Obrigatória
6,7,Estruturas Algébricas,Obrigatória
6,7,Matemática Comercial e Financeira,Obrigatória
6,7,Metodologia do Ensino da Matemática,Obrigatória
6,8,Estágio IV,Obrigatória
6,8,Introdução à Variável Complexa,Obrigatória
6,8,História da Matemática,Obrigatória
6,8,Introdução à Análise,Obrigatória
6,8,Monografia,Obrigatória
6,2,Física Aplicada,Optativa
6,3,Tópicos de Álgebra,Optativa
6,4,Metrologia Dimensional,Optativa
6,5,Linguagem de Programação,Optativa
6,6,Arte de Resolver Problemas,Optativa
6,7,Matemática Computacional,Optativa
6,8,Educação Inclusiva,Optativa
7,1,Introdução às Ciências da Natureza I,Obrigatória
7,1,Comunicação e Linguagem,Obrigatória
7,1,Pré-Cálculo,Obrigatória
7,1,Introdução à Física I,Obrigatória
7,1,Metodologia do Trabalho Científico,Obrigatória
7,1,Psicologia do Desenvolvimento,Obrigatória
7,1,Fundamentos Filosóficos e Sociológicos da Educação,Obrigatória
7,2,Cálculo Diferencial e Integral I,Obrigatória
7,2,Geometria Analítica e Álgebra Linear,Obrigatória
7,2,Introdução a Física II,Obrigatória
7,2,Introdução às Ciências da Natureza II,Obrigatória
7,2,História da Educação,Obrigatória
7,2,Psicologia da Aprendizagem,Obrigatória
7,3,Cálculo Diferencial e Integral II,Obrigatória
7,3,Mecânica Básica I,Obrigatória
7,3,Seminário I: Educação Ambiental,Obrigatória
7,3,Inglês Instrumental,Obrigatória
7,3,Política Educacional,Obrigatória
7,3,Didática,Obrigatória
7,4,Cálculo Diferencial e Integral III,Obrigatória
7,4,Mecânica Básica II,Obrigatória
7,4,Física Experimental I,Obrigatória
7,4,Metodologia do Ensino da Mecânica,Obrigatória
7,4,Estágio Supervisionado I,Obrigatória
7,5,Cálculo Diferencial e Integral IV,Obrigatória
7,5,Eletricidade e Magnetismo I,Obrigatória
7,5,Termodinâmica,Obrigatória
7,5,Metodologia do Ensino de Termodinâmica,Obrigatória
7,5,Currículos e Programas,Obrigatória
7,5,Estágio Supervisionado II,Obrigatória
7,6,Projeto Social,Obrigatória
7,6,Eletricidade e Magnetismo II,Obrigatória
7,6,Oscilações e Ondas,Obrigatória
7,6,Metodologia do Ensino de Eletricidade e Magnetismo,Obrigatória
7,6,Física Experimental II,Obrigatória
7,6,Estágio Supervisionado III,Obrigatória
7,7,Trabalho de Conclusão de Curso I,Obrigatória
7,7,Ética,Obrigatória
7,7,Física Moderna,Obrigatória
7,7,História da Física,Obrigatória
7,7,Libras,Obrigatória
7,7,Estágio Supervisionado IV,Obrigatória
7,8,Introdução à Mecânica Quântica,Obrigatória
7,8,Física Experimental III,Obrigatória
7,8,Educação Inclusiva,Obrigatória
7,8,Metodologia do Ensino de Ética e Física Moderna,Obrigatória
7,8,Trabalho de Conclusão de Curso II,Obrigatória
7,8,Seminários II – Educação Para as Relações Étnico-Raciais,Obrigatória
7,8,Informática Aplicada ao Ensino da Física,Optativa
7,8,Eletrodinâmica,Optativa
7,8,Eletrônica Analógica,Optativa
7,8,Eletrônica Digital,Optativa
7,8,Linguagem de Programação,Optativa
7,8,Física Moderna II,Optativa
8,1,Artes I,Obrigatória
8,1,Biologia I,Obrigatória
8,1,Educação Física I,Obrigatória
8,1,Filosofia I,Obrigatória
8,1,Física I,Obrigatória
8,1,Geografia I,Obrigatória
8,1,História I,Obrigatória
8,1,Inglês I,Obrigatória
8,1,Português I,Obrigatória
8,1,Química I,Obrigatória
8,1,Introdução ao Curso e Orientação Profissional,Obrigatória
8,1,Informática Básica,Obrigatória
8,1,Matemática I,Obrigatória
8,1,Desenho Técnico,Obrigatória
8,2,Artes II,Obrigatória
8,2,Biologia II,Obrigatória
8,2,Espanhol I,Obrigatória
8,2,Física II,Obrigatória
8,2,Geografia II,Obrigatória
8,2,História II,Obrigatória
8,2,Matemática II,Obrigatória
8,2,Português II,Obrigatória
8,2,Química II,Obrigatória
8,2,Sociologia I,Obrigatória
8,2,Higiene e Segurança do Trabalho,Obrigatória
8,2,Técnicas de Manutenção,Obrigatória
8,2,Educação Física II,Obrigatória
8,3,Biologia III,Obrigatória
8,3,Artes III,Obrigatória
8,3,Desenho Assistido por Computador,Obrigatória
8,3,Filosofia II,Obrigatória
8,3,Geografia III,Obrigatória
8,3,Inglês II,Obrigatória
8,3,História III,Obrigatória
8,3,Matemática III,Obrigatória
8,3,Português III,Obrigatória
8,3,Química III,Obrigatória
8,3,Análise de Circuitos,Obrigatória
8,3,Educação Física III,Obrigatória
8,3,Física III,Obrigatória
8,4,Biologia IV,Obrigatória
8,4,Espanhol II,Obrigatória
8,4,Física IV,Obrigatória
8,4,Geografia IV,Obrigatória
8,4,História IV,Obrigatória
8,4,Matemática IV,Obrigatória
8,4,Português IV,Obrigatória
8,4,Química IV,Obrigatória
8,4,Sociologia II,Obrigatória
8,4,Eletricidade Corrente Alternada,Obrigatória
8,4,Eletrônica Básica,Obrigatória
8,4,Educação Física IV,Obrigatória
8,4,Artes IV,Obrigatória
8,5,Biologia V,Obrigatória
8,5,Educação Física V,Obrigatória
8,5,Filosofia III,Obrigatória
8,5,Física V,Obrigatória
8,5,Geografia V,Obrigatória
8,5,Inglês III,Obrigatória
8,5,Matemática V,Obrigatória
8,5,Português V,Obrigatória
8,5,Química V,Obrigatória
8,5,Comandos Elétricos,Obrigatória
8,5,Eletrônica Industrial,Obrigatória
8,5,Gestão e Empreendedorismo,Obrigatória
8,5,Instalações Elétricas em Baixa Tensão,Obrigatória
8,5,História V,Obrigatória
8,5,Transformadores,Obrigatória
8,5,Medidas Elétricas,Obrigatória
8,6,Biologia VI,Obrigatória
8,6,Física VI,Obrigatória
8,6,Geografia VI,Obrigatória
8,6,História VI,Obrigatória
8,6,Matemática VI,Obrigatória
8,6,Português VI,Obrigatória
8,6,Química VI,Obrigatória
8,6,Máquinas de Corrente Alternada,Obrigatória
8,6,Subestações Industriais,Obrigatória
8,6,Sistemas de Potência,Obrigatória
8,6,Educação Física VI,Obrigatória
8,6,Espanhol III,Obrigatória
8,6,Sociologia III,Obrigatória
8,6,Máquinas de Corrente Contínua,Obrigatória
8,6,Redes de Distribuição,Obrigatória
8,6,Instalações Elétricas Industriais,Obrigatória
8,6,Automação Industrial,Obrigatória
9,1,Análise de Circuitos CC,Obrigatória
9,1,Matemática Aplicada,Obrigatória
9,1,Desenho Técnico,Obrigatória
9,1,Informática Básica,Obrigatória
9,1,Gestão e Empreendedorismo,Obrigatória
9,1,Informática Básica,Obrigatória
9,1,Inglês Instrumental,Obrigatória
9,2,Análise de Circuitos CA,Obrigatória
9,2,Desenho Assistido por Computador,Obrigatória
9,2,Medidas Elétricas,Obrigatória
9,2,Controle e Planejamento de Manutenção,Obrigatória
9,2,Eletrônica Básica,Obrigatória
9,2,Eletromagnetismo Aplicado,Obrigatória
9,3,Gerenciamento de Energia,Obrigatória
9,3,Instalações Elétricas Prediais,Obrigatória
9,3,Automação Industrial,Obrigatória
9,3,Comandos Elétricos,Obrigatória
9,3,Transformadores,Obrigatória
9,4,Energias Renováveis,Obrigatória
9,4,Máquinas Elétricas,Obrigatória
9,4,Sistemas de Potência,Obrigatória
9,4,Subestações Industriais,Obrigatória
9,4,Eletrônica de Potência,Obrigatória
9,4,Redes de Distribuição,Obrigatória
9,4,Educação Física,Optativa
9,4,Libras,Optativa
10,1,Análise de Circuitos,Obrigatória
10,1,Higiene e Segurança do Trabalho,Obrigatória
10,1,Eletromagnetismo,Obrigatória
10,1,Física Aplicada,Obrigatória
10,1,Gestão e Empreendedorismo,Obrigatória
10,1,Informática Básica,Obrigatória
10,2,Comandos Elétricos,Obrigatória
10,2,Desenho Assistido por Computador,Obrigatória
10,2,Inglês Instrumental,Obrigatória
10,2,Eletricidade Corrente Alternada,Obrigatória
10,2,Eletrônica Básica,Obrigatória
10,2,Eletrônica Digital,Obrigatória
10,3,Automatização Industrial,Obrigatória
10,3,Instalações Elétricas Prediais,Obrigatória
10,3,Redes de Distribuição,Obrigatória
10,3,Máquinas de Corrente Contínua,Obrigatória
10,3,Transformadores,Obrigatória
10,3,Técnicas de Manutenção,Obrigatória
10,4,Máquinas de Corrente Alternada,Obrigatória
10,4,Máquinas Elétricas,Obrigatória
10,4,Instalações Elétricas Industriais,Obrigatória
10,4,Sistemas de Potência,Obrigatória
10,4,Subestações Industriais,Obrigatória
10,4,Estágio Supervisionado,Obrigatória
11,1,Artes I,Obrigatória
11,1,Biologia I,Obrigatória
11,1,Educação Física I,Obrigatória
11,1,Filosofia I,Obrigatória
11,1,Física I,Obrigatória
11,1,Geografia I,Obrigatória
11,1,História I,Obrigatória
11,1,Inglês I,Obrigatória
11,1,Português I,Obrigatória
11,1,Química I,Obrigatória
11,1,Introdução ao Curso e Orientação Profissional,Obrigatória
11,1,Matemática I,Obrigatória
11,1,Introdução a Lógica de Programação,Obrigatória
11,1,Informática Básica,Obrigatória
11,2,Espanhol I,Obrigatória
11,2,Física II,Obrigatória
11,2,Geografia II,Obrigatória
11,2,História II,Obrigatória
11,2,Matemática II,Obrigatória
11,2,Português II,Obrigatória
11,2,Química II,Obrigatória
11,2,Sociologia I,Obrigatória
11,2,Arquitetura Montagem e Manutenção de Computadores,Obrigatória
11,2,Lógica e Linguagem de Programação,Obrigatória
11,2,Tecnologias Web,Obrigatória
11,2,Artes II,Obrigatória
11,2,Biologia II,Obrigatória
11,3,Biologia III,Obrigatória
11,3,Educação Física II,Obrigatória
11,3,Espanhol II,Obrigatória
11,3,Filosofia II,Obrigatória
11,3,Geografia III,Obrigatória
11,3,Inglês II,Obrigatória
11,3,História III,Obrigatória
11,3,Matemática III,Obrigatória
11,3,Português III,Obrigatória
11,3,Química III,Obrigatória
11,3,Engenharia de Software,Obrigatória
11,3,Introdução a Estrutura de Dados,Obrigatória
11,3,Física III,Obrigatória
11,3,Sistemas Operacionais,Obrigatória
11,4,Biologia IV,Obrigatória
11,4,Espanhol III,Obrigatória
11,4,Física IV,Obrigatória
11,4,Geografia IV,Obrigatória
11,4,História IV,Obrigatória
11,4,Matemática IV,Obrigatória
11,4,Português IV,Obrigatória
11,4,Química IV,Obrigatória
11,4,Sociologia II,Obrigatória
11,4,Banco de Dados,Obrigatória
